StatCode5,ShiptypeLevel5,Level4Code,ShipTypeLevel4,Level3Code,ShipTypeLevel3,Level2Code,ShipTypeLevel2,ShipTypeLevel1Code,ShiptypeLevel1,HullType,SubGroup,SubType
Z11B4WM,Mechanical Lift Dock,Z11B,Floating Dock,Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Non Ship Shape,Pontoons and Structures,Mechanical Lift Dock
Z11C3ZA,"Accommodation Platform, semi submersible",Z11C,Platform,Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Ship Shape Semi-Sub,Platforms,Accommodation Platform
Z11C3ZE,"Drilling Rig, semi Submersible",Z11C,Platform,Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Ship Shape Semi-Sub,Platforms,"Drilling Rig, Semi Submersible"
Z11C3ZG,"Diving Support Platform, semi submersible",Z11C,Platform,Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Ship Shape Semi-Sub,Platforms,Diving Support Platform
Z11C3ZK,"Pipe layer Platform, semi submersible",Z11C,Platform,Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Ship Shape Semi-Sub,Platforms,Pipelayer Platform
Z11C3ZM,"Maintenance Platform, semi Submersible",Z11C,Platform,Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Ship Shape Semi-Sub,Platforms,"Maintenance Platform, Semi-Submersisble"
Z11C4ZA,"Accommodation Platform, jack up",Z11C,Platform,Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Non Ship Shape,Platforms,Accommodation Platform
Z11C4ZC,"Crane Platform, jack up",Z11C,Platform,Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Non Ship Shape,Platforms,Crane Platform
Z11C4ZD,"Drilling Rig, jack up",Z11C,,Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Non Ship Shape,Platforms,
Z11C4ZM,"Support Platform, jack up",Z11C,Platform,Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Non Ship Shape,Platforms,"Maintenance Platform, Semi-Submersisble"
Z11C4ZS,"Supply Platform, jack up",Z11C,Platform,Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Non Ship Shape,Platforms,"Supply Platform, Semi-submersible"
Z11C4ZU,Pumping Platform,Z11C,Platform,Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Non Ship Shape,Platforms,Pumping Platform
Z11D4XN,Mooring Buoy,Z11D,Buoy,Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Non Ship Shape,Miscellaneous,Mooring Buoy
Z11E4WK,Linkspan/Jetty,Z11E,Linkspan/Jetty,Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Non Ship Shape,Pontoons and Structures,Linkspan/Jetty
