StatCode5,ShiptypeLevel5,Level4Code,ShipTypeLevel4,Level3Code,ShipTypeLevel3,Level2Code,ShipTypeLevel2,ShipTypeLevel1Code,ShiptypeLevel1,HullType,SubGroup,SubType
B21A2OP,Pipe Carrier,B21A,Platform Supply Ship,B21,Offshore Supply,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Offshore,Pipe Carrier
B21A2OS,Platform Supply Ship,B21A,Platform Supply Ship,B21,Offshore Supply,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Offshore,Offshore Supply Ship
B21B2OA,Anchor Handling Tug Supply,B21B,Offshore Tug/Supply Ship,B21,Offshore Supply,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Offshore,Anchor Handling Tug Supply
B21B2OT,Offshore Tug/Supply Ship,B21B,Offshore Tug/Supply Ship,B21,Offshore Supply,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Offshore,Offshore Tug/Supply Ship
B22A2OR,Offshore Support Vessel,B22A,Offshore Support Vessel,B22,Other Offshore,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Offshore,Offshore Support Vessel
B22A2OV,Diving Support Vessel,B22A,Offshore Support Vessel,B22,Other Offshore,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Offshore,Diving Support Vessel
B22A2ZA,Accommodation Ship,B22A,Offshore Support Vessel,B22,Other Offshore,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Platforms,Accommodation Platform
B22A2ZM,"Offshore Construction Vessel, jack up",B22A,Offshore Support Vessel,B22,Other Offshore,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Platforms,"Maintenance Platform, Semi-Submersisble"
B22B2OD,Drilling Ship,B22B,Drilling Ship,B22,Other Offshore,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Offshore,Drilling Ship
B22C2OQ,Pipe Layer Crane Vessel,B22C,Pipe Layer,B22,Other Offshore,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Offshore,Pipe-Layer Crane Vessel
B22C2OX,Pipe Layer,B22C,Pipe Layer,B22,Other Offshore,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Offshore,Pipe-Layer
B22D2OZ,Production Testing Vessel,B22D,Production Testing Vessel,B22,Other Offshore,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Offshore,Production Testing Vessel
